N     X           Y            Z
1   0.000000    0.000000    0.000000
2   1.634457    0.000000    0.000000
3   0.848372    -1.397060    0.000000
4   -0.423830    -1.249592    0.964097
5   -0.424202    0.238751    1.559882
6   0.847974    1.010963    0.964036
7   1.586338    0.595483    -1.487590
8   0.314284    -1.665043    -1.487577
9   0.313782    2.231356    0.072351
10   -1.744316    -1.426523    0.072469
11   0.770296    -0.433507    -2.407198
12   0.770187    1.974673    -1.443076
13   -1.288240    -1.683203    -1.443024
14   -1.745276    0.982009    1.036457
15   -1.289263    2.213699    0.116953
16   -2.561361    -0.047340    0.117215
17   -0.550991    0.309996    -2.932022
18   -0.550989    1.798641    -2.336151
19   -1.823578    -0.462380    -2.335968
20   -1.823972    1.946569    -1.371946
21   -2.610849    0.549172    -1.371515
22   0.555780    0.252242    1.513061
23   1.337401    -0.752512    0.555047
24   0.073024    -0.605936    1.513144
25   0.556108    -1.226859    0.920987
26   1.615570    -0.909079    -0.368673
27   1.084736    -1.175390    -1.847025
28   1.337303    0.161555    0.920986
29   1.567675    -0.317217    -1.847039
30   1.084468    2.125116    -0.525660
31   0.058720    -1.854289    0.360536
32   0.058066    1.093016    1.540360
33   -1.253583    -2.029992    -0.525607
34   1.567557    1.504041    -1.117843
35   1.114004    1.759198    0.388074
36   1.615389    0.912306    0.360538
37   -0.472045    -2.120550    -1.117831
38   1.895704    -0.152750    -0.933257
39   1.114473    -1.541125    -0.933256
40   1.895623    0.754575    -0.569991
41   -0.903787    -0.617083    1.540565
42   -0.925357    -1.865441    0.388140
43   0.338920    -2.011985    -0.569991
44   0.338195    1.849194    0.975841
45   -1.404805    -1.249176    0.975993
46   0.279802    -1.283329    -2.390844
47   1.242157    1.340780    -2.024922
48   1.242195    0.426787    -2.390872
49   -0.501471    -1.757657    -2.024896
50   0.279644    2.578458    -0.844845
51   -1.254962    1.831448    1.019935
52   -2.058879    -1.577301    -0.844735
53   -0.472826    2.305839    0.654189
54   -0.926104    1.081843    1.567995
55   -1.405116    0.229905    1.568108
56   -2.216048    -0.792995    0.654419
57   -0.501808    2.669146    -0.252717
58   -2.541927    -0.956574    -0.252528
59   -1.260122    1.266195    0.259582
60   0.807716    -0.454500    -0.172091
61   0.036143    0.537211    0.773415
62   -2.216225    0.121414    1.020349
63   0.036570    -0.922652    0.189071
64   -0.440280    -0.309773    0.773493
65   0.807595    0.447662    0.189076
66   0.283592    -0.717171    -1.631313
67   0.760204    0.129740    -1.631331
68   1.084134    0.291988    -0.729342
69   0.312577    1.283519    0.216193
70   0.313104    -1.078263    -0.729336
71   0.760123    1.031714    -1.270188
72   0.283297    1.644632    -0.685767
73   -1.258773    -1.095799    -0.685711
74   0.431214    1.797529    -2.346640
75   -0.487422    -1.185243    -1.270171
76   -0.934752    -0.933551    0.216244
77   0.431242    0.318144    -2.938888
78   -1.312826    -1.301456    -2.346546
79   -0.048216    -0.533807    -2.938875
80   -0.048230    2.414128    -1.758773
81   -2.061672    1.724015    0.475885
82   -2.088714    -1.211620    -1.758639
83   -0.488146    1.734169    -0.101459
84   -0.935318    0.526251    0.800549
85   -1.735618    -0.483030    -0.101333
86   -0.536146    0.859123    -2.146300
87   -1.736062    0.419352    0.259722
88   -1.012714    0.012366    -2.146242
89   -1.784814    1.004309    -1.200788
90   -0.040705    1.482462    -1.588025
91   -0.040567    0.022766    -2.172399
92   -1.288422    -0.734590    -1.587933
93   -1.313038    2.560851    -0.800462
94   -2.060653    0.257221    -0.642280
95   -1.784172    0.101944    -1.561778
96   -1.012935    1.472032    -1.561972
97   -1.289145    1.627312    -0.642494
98   -0.070449    1.165528    -2.911906
99   -1.032961    -0.544691    -2.911828
100   -2.870856    -0.206858    -0.800200
101   -1.032917    2.403347    -1.731861
102   -2.590623    -0.364189    -1.731552
103   -2.543012    0.866086    0.476530
104   -2.089950    2.089964    -0.436995
105   -2.873062    0.701438    -0.436529
106   -2.592768    1.459206    -1.002595
107   -1.049755    1.155678    -2.887488
108   -1.532762    0.297541    -2.887406
109   -1.532684    1.776789    -2.295465
110   -2.314385    0.388230    -2.295176
111   -2.314584    1.302633    -1.929503
112   0.518522    -0.291728    0.728621
113   1.064452    1.182586    -0.372113
114   1.064700    -0.599137    -1.085454
115   -0.458323    -1.523705    -0.372105
116   -0.459232    1.359364    0.781960
117   -1.399930    -0.313398    0.782126
118   -2.042040    1.148420    -0.286244
119   -1.496034    0.841861    -2.103178
120   0.424878    0.862037    -2.153552
121   -0.516435    -0.810602    -2.153502
122   -0.516670    2.072537    -0.999328
123   -2.039880    -0.634028    -0.999162
124   1.041533    -0.585981    1.463598
125   1.871346    1.654385    -0.208904
126   1.871605    -1.053185    -1.292933
127   -0.442763    -2.458279    -0.208896
128   -0.443736    1.922937    1.544985
129   -1.873428    -0.619229    1.545297
130   0.900300    1.167067    -2.915627
131   -0.530464    -1.375276    -2.915574
132   -0.530421    3.007029    -1.161305
133   -2.845736    -1.107286    -1.161123
134   0.096000    -0.053916    2.312508
135   0.096280    -1.557181    1.710715
136   1.381239    -1.706112    0.736910
137   2.175219    -0.294993    0.736918
138   2.457169    -0.453690    -0.199290
139   -0.407819    -2.193133    1.142703
140   1.663170    -1.864802    -0.199300
141   1.380896    0.726132    1.710650
142   2.457092    0.465926    0.168897
143   0.877125    -2.342045    0.168882
144   1.123388    2.719697    0.242077
145   1.662766    1.487025    1.142648
146   -0.893735    -1.568508    1.738522
147   1.584466    2.460404    -1.288432
148   2.408620    1.067356    -1.333583
149   2.408673    0.147749    -1.701775
150   1.123799    -2.135564    -1.701768
151   1.584584    -0.891717    -2.630489
152   0.337746    -2.612810    -1.333583
153   -1.741492    -2.371984    0.242186
154   -1.280761    -2.631331    -1.288401
155   0.876535    1.578229    1.738362
156   -0.408334    0.798222    2.340252
157   -0.893959    -0.065259    2.340382
158   0.337187    2.810916    0.837847
159   2.078849    0.901812    -2.252877
160   0.308002    -2.245012    -2.252859
161   -2.227395    -1.747457    0.838056
162   0.307789    3.179171    -0.081325
163   -2.557609    -1.913287    -0.081157
164   1.254884    2.294978    -2.207733
165   0.768927    2.919965    -1.611845
166   1.254905    -0.137715    -3.181669
167   0.768926    -1.001259    -3.181658
168   -1.310525    -2.263708    -2.207685
169   -2.096925    -2.172680    -1.611766
170   -1.742240    1.548829    1.811920
171   -1.281421    2.793083    0.883247
172   -2.227639    0.685233    1.812126
173   -1.310534    3.161472    -0.035781
174   -3.052137    -0.354843    0.883743
175   -3.382562    -0.520958    -0.035448
176   -2.558469    1.440077    1.261296
177   -2.097711    2.684280    0.332923
178   -0.078221    2.117191    -3.109100
179   -0.078320    0.612718    -3.711304
180   -0.564499    -0.251135    -3.711278
181   -1.850530    -1.031814    -3.108923
182   -0.564256    2.742446    -2.513064
183   -2.637244    -0.940749    -2.512810
184   -1.850163    2.892070    -1.538680
185   -3.432507    0.081058    -1.538268
186   -2.851742    1.602486    -0.078517
187   -3.383296    0.399300    0.333701
188   -2.637259    2.415448    -1.170302
189   -3.433541    1.002226    -1.169558
190   -1.069639    0.601859    -3.685540
191   -1.069427    2.107168    -3.083135
192   -2.356390    -0.179241    -3.082873
193   -2.356055    2.256813    -2.108496
194   -3.151970    0.843360    -2.107993
195   0.582335    0.810455    2.293043
196   2.156797    -1.213588    0.362998
197   1.146730    2.334001    1.155726
198   0.582860    -2.169196    1.100228
199   -0.390162    -0.918421    2.293244
200   2.156627    0.627827    1.100237
201   2.721206    0.310062    -0.774404
202   1.147362    -2.486942    -0.774416
203   -1.399558    -2.191858    1.155870
204   2.060684    1.819980    -1.877878
205   1.087787    -1.750373    -2.615129
206   2.060757    -0.021451    -2.615153
207   1.087652    3.071272    -0.684817
208   -0.486232    -2.706014    -1.877868
209   -2.060685    -2.523746    -0.684733
210   -1.399938    0.787825    2.348912
211   -0.486485    3.254009    0.508194
212   -3.033671    -1.273328    0.508476
213   0.427786    2.740220    -2.525563
214   0.427678    -0.240744    -3.718881
215   -2.120435    -1.787701    -2.525439
216   -2.062557    2.297967    1.244764
217   -2.021255    1.137480    -2.842398
218   -3.033692    0.569089    1.246230
219   -2.120080    3.036207    -0.594317
220   -3.696743    0.235861    -0.594186
221   -0.582075    1.466892    -3.665048
222   -1.556129    -0.263736    -3.664933
223   -1.555698    2.719526    -2.471108
224   1.081587    -0.039176    2.257687
225   -3.132200    -0.081177    -2.470698
226   1.869235    -1.051729    1.292170
227   0.595058    -0.904035    2.257762
228   1.081858    -1.529780    1.660976
229   1.895685    -1.636123    -2.061480
230   2.382226    1.980670    -0.959679
231   1.925081    2.237828    0.557909
232   1.895422    2.606586    -0.362870
233   -1.244181    -2.973059    -0.362835
234   2.382387    -0.771258    -2.061491
235   2.430523    -1.367656    -0.571643
236   -0.456589    -3.064276    -0.959681
237   0.078272    -2.795806    0.530150
238   0.077527    1.657237    2.312841
239   1.869139    -0.130529    1.660977
240   0.359860    2.419376    1.743910
241   2.712733    1.225339    -0.407658
242   2.712872    -0.605428    -1.140650
243   -0.913472    -2.807119    0.557965
244   2.430284    1.384297    0.530161
245   1.925531    -2.004658    -1.140654
246   0.360660    -2.954756    -0.407672
247   -1.375802    -0.926628    2.313169
248   -1.880787    -1.563701    1.744173
249   -1.245296    2.401399    1.788592
250   -1.880897    -0.073110    2.341032
251   -0.457270    2.879598    1.419955
252   1.725973    1.651168    -2.789782
253   0.271758    -1.854177    -3.158605
254   1.725994    0.729891    -3.158642
255   -2.698220    -1.104128    1.420310
256   -0.914186    1.645975    2.340803
257   -0.515737    -2.332287    -2.789751
258   0.271829    3.521393    -1.006640
259   -2.868929    -2.059994    -1.006498
260   -0.515622    3.612818    -0.409789
261   -2.698247    -0.182610    1.789261
262   -3.355724    -1.434495    -0.409580
263   0.909156    2.111459    -3.113851
264   0.909122    0.620288    -3.710803
265   -1.333162    -1.872900    -3.113755
266   -0.058514    -1.099093    -3.710779
267   -0.058312    3.355885    -1.927436
268   -2.898945    -1.691741    -1.927304
269   -1.332824    3.503921    -0.961445
270   0.404111    1.474324    -3.683400
271   -1.050674    -1.110588    -3.683307
272   -1.050273    3.345265    -1.899852
273   -3.687066    -0.679459    -0.961269
274   -3.404699    -0.838147    -1.899534
275   -2.874278    2.183737    0.689382
276   -3.132681    1.763580    -1.734120
277   -3.356132    1.320603    0.693354
278   -2.899444    2.553886    -0.226531
279   -0.977036    0.549740    -1.373036
280   -1.241588    0.698461    -0.492610
281   -0.474419    0.800655    0.025515
282   -1.240895    -0.165423    -0.838315
283   -0.502289    -0.251153    -1.397857
284   -0.046007    0.559592    -1.397914
285   -0.473848    -0.597178    -0.533989
286   0.264464    0.714920    -0.533980
287   -0.502598    1.146329    -0.838392
288   -0.930498    -0.010262    0.025557
289   0.264716    -0.148989    -0.879860
290   -3.694883    1.152197    -0.225612
291   -3.410071    1.921620    -0.799815
292   -1.571929    1.455581    -3.637062
293   -2.060108    0.588284    -3.636965
294   -2.059776    2.083246    -3.038910
295   -2.849849    0.679832    -3.038582
296   -2.849740    1.603907    -2.669313
297   -0.428057    2.494746    2.319023
298   1.572046    -0.884449    2.209191
299   2.689818    2.133089    -0.043417
300   2.690110    -1.513763    -1.503522
301   -0.427099    -3.406333    -0.043425
302   -2.353933    -0.929415    2.319455
303   1.382544    1.476597    -3.688908
304   -0.544815    -1.948126    -3.688850
305   -0.544511    3.955245    -1.325719
306   -3.663526    -1.587380    -1.325557
307   -3.685832    2.061792    0.123523
308   1.155892    3.311431    1.017816
309   0.118058    -2.514672    1.899743
310   -0.373154    -1.883213    2.502071
311   0.117621    0.508524    3.110054
312   -0.882783    -2.526140    1.927840
313   3.249256    0.620030    -1.548748
314   2.915844    1.382331    -2.105810
315   3.013231    -0.756883    0.543597
316   1.156405    -3.099187    -1.548756
317   3.298195    0.012360    -0.030646
318   3.013151    0.172793    0.915816
319   1.416354    -2.665138    0.915785
320   2.210990    -2.182676    0.543576
321   2.915884    0.452630    -2.478046
322   1.126378    -2.727358    -2.478031
323   1.126175    3.683670    0.088629
324   1.415803    1.296704    2.501917
325   1.700758    2.065924    1.927708
326   0.331693    -3.209843    -2.105807
327   2.210596    1.204518    1.899696
328   1.701362    -2.825570    -0.030679
329   -0.373338    -0.364372    3.110177
330   0.331458    3.775911    0.690955
331   -2.230277    -2.707008    1.017993
332   -0.883114    0.497052    3.138285
333   -2.564030    -2.874653    0.088761
334   2.083387    2.789943    -2.060048
335   1.592151    3.421718    -1.457669
336   -2.098499    -3.136778    -1.457637
337   -1.303578    -3.228788    -2.060037
338   1.592184    -1.470700    -3.416355
339   2.083444    -0.597767    -3.416364
340   -3.055255    -2.243340    0.691199
341   1.259084    3.254553    -2.386966
342   1.259010    -0.708552    -3.973560
343   -2.128599    -2.765249    -2.386913
344   -2.230529    1.255388    2.604797
345   -1.303466    3.758077    0.737257
346   -3.888533    -0.836594    0.737801
347   -3.055011    1.144843    2.048627
348   -2.127700    3.648391    0.180933
349   -2.564316    2.018175    2.048298
350   -2.098481    3.275755    1.110039
351   -0.087641    0.049210    -4.508733
352   -0.087317    3.075271    -3.297499
353   -2.674260    -1.521161    -3.297262
354   -3.888661    0.093410    1.111030
355   -2.673218    3.376891    -1.337520
356   -4.222974    -0.075254    0.181576
357   -0.596139    0.911041    -4.481939
358   -1.088282    0.036637    -4.481896
359   -0.595877    2.432864    -3.872899
360   -4.273812    0.533651    -1.337308
361   -2.389094    -0.753092    -3.872637
362   -1.087768    3.065798    -3.269620
363   -3.185391    -0.660930    -3.269251
364   -2.388329    3.217294    -2.284105
365   -3.989693    0.372646    -2.283677
366   1.943265    3.211331    0.412630
367   3.238753    1.545720    -1.175691
368   0.623975    -1.866117    2.465029
369   0.623736    -0.350820    3.071655
370   0.359132    3.395117    1.613133
371   -0.391816    -3.147586    1.320459
372   1.943669    -2.608985    -1.917615
373   1.919228    -2.016247    1.483394
374   3.238860    -0.307337    -1.917617
375   0.359738    -3.570659    -1.175707
376   2.719571    -0.593796    1.483414
377   3.287709    -0.913575    -0.403077
378   1.918897    0.435522    2.464968
379   2.408084    2.949930    -1.130058
380   -1.736145    -3.327944    0.412707
381   2.486880    1.968762    1.320423
382   3.287561    0.939469    0.338838
383   -1.271684    -3.589408    -1.130061
384   2.487330    -2.336022    -0.403096
385   0.903436    -3.297679    0.338800
386   -0.392416    1.366211    3.127583
387   -1.370882    -1.889001    2.521082
388   2.408242    -1.355199    -2.853693
389   0.902702    2.152506    2.520817
390   -2.715212    -2.069500    1.613429
391   -1.370997    -0.373730    3.127834
392   2.574452    1.212093    -3.028004
393   0.299935    -2.829678    -3.027980
394   0.300008    4.137212    -0.238887
395   -3.380568    -2.403831    -0.238689
396   1.744120    2.616527    -2.982355
397   -2.715265    0.382619    2.595529
398   0.764952    3.875956    -1.781583
399   -1.331527    -2.848755    -2.982314
400   0.764801    -1.576048    -3.964181
401   1.744105    0.164077    -3.964200
402   -2.916162    -2.665398    -1.781508
403   -1.331036    4.119544    -0.192744
404   -1.736740    2.122867    2.595221
405   -1.272132    3.377126    1.659184
406   -3.546337    -0.665786    1.659825
407   -4.212147    -1.000555    -0.192466
408   0.400850    0.920672    -4.497969
409   -1.875319    -1.607467    -3.890811
410   0.401000    2.437081    -3.890989
411   -0.579117    -0.820553    -4.497924
412   -0.578643    3.697387    -2.689570
413   -3.460985    -1.424002    -2.689309
414   -1.874549    3.848342    -1.707329
415   -4.262461    -0.394424    -1.706994
416   -3.184513    2.734537    -1.912028
417   -3.989920    1.304683    -1.911261
418   -3.380524    1.903187    1.487744
419   -2.915259    3.159185    0.550998
420   -4.214123    0.853774    0.552302
421   -3.461099    2.888633    -0.964685
422   1.176255    2.915679    1.934533
423   1.967637    2.823892    1.334850
424   0.606906    1.378723    3.081835
425   1.114548    0.520974    3.053930
426   1.115021    -2.484699    1.850663
427   0.607575    -3.124857    1.278878
428   3.555833    0.782208    -0.612198
429   2.702721    -1.520733    1.106973
430   3.555898    -0.143494    -0.982829
431   2.986533    -1.680482    0.164561
432   -1.392194    -3.147775    1.334964
433   -1.881287    -2.519073    1.934766
434   1.968262    -2.964996    -0.982854
435   1.177007    -3.445405    -0.612231
436   2.889606    2.305347    -1.725181
437   -1.881513    0.486700    3.138380
438   2.702539    0.336797    1.850681
439   2.986286    1.102755    1.278901
440   1.908287    -2.221993    -2.839562
441   -0.470861    -3.666458    -1.725193
442   0.133545    -1.222985    3.054105
443   -0.862987    -1.234438    3.082143
444   2.889727    -0.478015    -2.839580
445   2.557853    2.138727    -2.650517
446   -2.058965    -3.482633    -0.521667
447   1.908135    3.567514    -0.521705
448   -1.392654    1.355969    3.138290
449   1.087223    -2.332305    -3.394283
450   -0.500728    -3.296396    -2.650512
451   -0.500628    4.214485    0.356405
452   2.557905    0.281005    -3.394317
453   -0.471131    3.843710    1.281591
454   1.087257    4.030110    -0.847178
455   -2.880480    -3.021032    -0.847086
456   -3.529581    -1.592535    1.281967
457   -3.862046    -1.759613    0.356708
458   -2.059848    2.879335    2.025158
459   0.910744    0.059818    -4.507691
460   0.421696    3.696274    -2.703932
461   0.421412    -0.809660    -4.507682
462   0.910918    3.066963    -3.303896
463   -2.149045    -2.370219    -3.303778
464   -2.940845    -2.278627    -2.703813
465   -3.529347    0.265518    2.026610
466   -2.147923    3.995341    -0.755789
467   -2.881071    2.769073    1.470400
468   -4.530512    -0.237834    -0.755754
469   -0.106081    1.782240    -4.452906
470   -1.578737    -0.834282    -4.452761
471   -1.578066    3.676178    -2.647646
472   -3.961502    -0.558455    -2.647219
473   -3.861060    1.024447    1.473788
474   -2.938411    3.515874    -0.384370
475   -4.265063    1.463320    -0.962468
476   -1.595119    0.897564    -4.448005
477   -1.594726    2.419149    -3.839165
478   -2.895704    0.107920    -3.838859
479   -2.895011    2.570344    -2.854248
480   -3.699576    1.141388    -2.853717
481   -2.562615    1.442120    -3.604076
482   -4.533655    0.687504    -0.383917
483   -3.963402    2.232449    -1.534159
484   0.380160    3.000019    2.526911
485   0.096165    2.233440    3.099149
486   2.752199    2.724914    0.729468
487   1.617759    -0.337539    3.015545
488   2.409922    -1.355924    2.044429
489   1.618006    -1.836736    2.415368
490   3.544383    1.706537    -0.241716
491   0.097006    -3.755495    0.701515
492   3.260594    -1.834741    -0.780322
493   3.544588    -1.068104    -1.352620
494   3.212028    2.466260    -0.796849
495   -0.900466    -3.766913    0.729478
496   -0.440937    -4.025590    -0.796877
497   2.722755    -2.104789    -2.278731
498   2.752691    -2.475432    -1.352634
499   0.381017    -3.915377    -0.241746
500   1.128457    -1.207376    3.015599
501   -2.366442    -1.882448    2.527278
502   2.409813    -0.429418    2.415383
503   3.260287    1.866442    0.701530
504   3.212247    -1.234978    -2.278728
505   -1.233001    -3.933881    -0.196592
506   -2.366498    -0.383183    3.127668
507   2.722486    3.095737    -0.196585
508   -1.858569    -1.241661    3.099574
509   -1.233979    2.981985    2.572153
510   2.217574    1.966787    -3.570425
511   -3.188572    -1.420240    2.201702
512   -0.901214    2.222176    3.127338
513   0.261639    -2.435390    -3.941398
514   -0.530446    -2.916284    -3.570401
515   -0.530100    4.574211    -0.571766
516   2.217569    1.040152    -3.941450
517   -0.441638    3.462881    2.201300
518   0.261843    4.482244    -1.172157
519   -1.101696    1.772295    -4.428273
520   -3.188556    -0.493557    2.572937
521   -3.695405    -2.550148    -1.172009
522   -2.086910    0.021941    -4.428124
523   -2.086219    3.039278    -3.220758
524   -4.184994    -1.921045    -0.571532
525   1.396099    0.929801    -4.496809
526   -0.070031    4.315802    -2.098243
527   1.396176    2.429782    -3.896344
528   -0.070410    -1.675998    -4.496772
529   -1.352568    -2.454393    -3.896242
530   -3.725577    -2.179888    -2.098114
531   -3.680827    0.206474    -3.220328
532   -1.351903    4.464923    -1.126568
533   0.888758    1.788890    -4.469256
534   -1.068105    -1.688108    -4.469149
535   -4.518292    -1.161864    -1.126436
536   -1.067518    4.305556    -2.070137
537   -4.234420    -1.321725    -2.069888
538   -3.680644    2.071932    -2.475839
539   -3.695370    2.651906    0.909883
540   -4.185208    1.781290    0.915586
541   -3.723180    3.028964    -0.014205
