N     X           Y            Z
1   0.000000    0.000000    0.000000
2   1.634890    0.000000    0.000000
3   0.849283    -1.396993    0.000000
4   0.848311    1.010624    0.963959
5   -0.422869    -1.249828    0.964009
6   0.315418    -1.665080    -1.487413
7   1.586610    0.595388    -1.487460
8   -0.423853    0.238394    1.559700
9   0.770722    -0.433478    -2.407011
10   0.770548    1.974303    -1.442878
11   -1.286768    -1.684073    -1.442792
12   -1.743156    -1.427293    0.072572
13   0.314082    2.230947    0.072486
14   -1.745835    0.981808    1.036411
15   -2.561609    -0.047877    0.117115
16   -1.289774    2.213736    0.117061
17   -0.550997    0.309787    -2.931823
18   -1.822880    -0.463730    -2.335952
19   -0.550733    1.798437    -2.336005
20   -1.824348    1.946655    -1.371732
21   -2.611119    0.547597    -1.371699
22   1.338061    -0.752458    0.554993
23   1.616232    -0.908906    -0.368640
24   0.556235    0.252031    1.512917
25   0.073623    -0.606166    1.512936
26   1.085471    -1.175273    -1.846898
27   1.568092    -0.317064    -1.846916
28   -1.252074    -2.030720    -0.525451
29   1.084794    2.124765    -0.525548
30   -0.470459    -2.120885    -1.117657
31   1.567855    1.503702    -1.117740
32   0.557044    -1.226963    0.920910
33   -0.923988    -1.865778    0.388238
34   1.114303    1.758772    0.388154
35   1.337809    0.161420    0.920887
36   1.896194    -0.152640    -0.933168
37   1.115432    -1.541015    -0.933145
38   0.060008    -1.854450    0.360577
39   1.615782    0.912076    0.360518
40   1.896003    0.754462    -0.569918
41   0.340230    -2.012055    -0.569861
42   0.058538    1.092595    1.540361
43   -0.903167    -0.617538    1.540400
44   0.280704    -1.283425    -2.390679
45   1.242439    0.426759    -2.390717
46   -1.403773    -1.249686    0.976014
47   0.338637    1.848721    0.975942
48   1.242403    1.340457    -2.024778
49   -0.500050    -1.758022    -2.024707
50   -2.057484    -1.578783    -0.844525
51   0.280225    2.578197    -0.844623
52   0.808100    -0.454444    -0.172075
53   0.036172    0.537077    0.773287
54   -0.440119    -0.309878    0.773306
55   0.283994    -0.717152    -1.631221
56   0.760292    0.129813    -1.631239
57   0.037214    -0.922734    0.189057
58   0.807798    0.447546    0.189029
59   1.084355    0.291991    -0.729270
60   0.313773    -1.078274    -0.729246
61   -0.486570    -1.185412    -1.270054
62   0.760134    1.031510    -1.270104
63   0.312510    1.283252    0.216207
64   -0.934176    -0.933643    0.216258
65   -1.258026    -1.096263    -0.685597
66   0.283218    1.644420    -0.685661
67   -0.472333    2.305488    0.654341
68   -2.215360    -0.794013    0.654415
69   -1.311630    -1.302489    -2.346322
70   0.431556    1.797292    -2.346395
71   -0.925694    1.081285    1.568029
72   -1.404785    0.229351    1.568050
73   -0.047610    -0.533999    -2.938697
74   0.431503    0.317974    -2.938717
75   -2.541009    -0.958148    -0.252343
76   -0.501266    2.668982    -0.252429
77   -1.786828    1.004807    -1.201348
78   -2.087390    -1.213443    -1.758359
79   -0.047507    2.413934    -1.758446
80   -1.012952    0.012402    -2.146084
81   -0.536842    0.859033    -2.146104
82   -1.261166    1.266331    0.259518
83   -1.737200    0.419834    0.259538
84   -1.735524    -0.483344    -0.101282
85   -0.488549    1.734063    -0.101334
86   -0.935653    0.526190    0.800406
87   -1.287868    -0.735208    -1.587763
88   -0.040819    1.482329    -1.587815
89   -0.040525    0.022738    -2.172287
90   -2.216306    0.120918    1.020100
91   -1.254613    1.831027    1.020060
92   -0.070653    1.165194    -2.911586
93   -1.032405    -0.545020    -2.911546
94   -2.061114    0.257036    -0.642263
95   -1.290340    1.627648    -0.642295
96   -1.013355    1.472005    -1.561688
97   -1.784252    0.101175    -1.561655
