N     X           Y            Z
1   0.000000    0.000000    0.000000
2   1.634983    0.000000    0.000000
3   0.849002    -1.396934    0.000000
4   1.586869    0.595467    1.487341
5   0.848660    1.010780    -0.963923
6   -0.423112    -1.249642    -0.963912
7   0.315101    -1.664959    1.487362
8   -0.423398    0.238591    -1.559845
9   0.771184    -0.433478    2.406830
10   0.314313    2.231151    -0.072359
11   0.770642    1.974423    1.442905
12   -1.287736    -1.683478    1.443064
13   -1.744077    -1.426741    -0.072240
14   -1.745187    0.982203    -1.037000
15   -0.549956    0.309770    2.931830
16   -1.289268    2.213962    -0.117303
17   -0.550479    1.798322    2.335886
18   -2.561776    -0.047192    -0.117556
19   -1.822787    -0.462945    2.336295
20   -1.824310    1.946425    1.371549
21   -2.611242    0.548405    1.371673
22   0.073770    -0.606044    -1.512968
23   1.085568    -1.175279    1.846761
24   1.568381    -0.317094    1.846710
25   0.556612    0.252124    -1.512926
26   1.115118    -1.540957    0.933029
27   1.338096    -0.752475    -0.554994
28   1.616220    -0.908950    0.368538
29   0.556841    -1.226871    -0.920760
30   1.084894    2.124886    0.525666
31   1.337970    0.161444    -0.920844
32   1.896284    -0.152663    0.933070
33   1.896144    0.754524    0.569908
34   1.615959    0.912154    -0.360465
35   1.114603    1.759010    -0.388065
36   1.568081    1.503886    1.117732
37   0.339574    -2.011874    0.569881
38   0.059432    -1.854267    -0.360342
39   0.059119    1.092807    -1.540421
40   1.242936    0.426796    2.390507
41   -0.902926    -0.617281    -1.540609
42   0.280984    -1.283347    2.390629
43   0.339143    1.849025    -0.975902
44   1.242777    1.340644    2.024663
45   -1.253441    -2.029919    0.525923
46   -0.471192    -2.120630    1.117821
47   -0.924697    -1.865489    -0.388066
48   0.280102    2.578220    0.844840
49   -0.500195    -1.757785    2.024777
50   -1.403923    -1.249350    -0.976098
51   -1.259351    -1.095821    0.685966
52   0.808097    -0.454458    0.172012
53   0.807934    0.447567    -0.189057
54   1.084468    0.291988    0.729201
55   0.313359    -1.078195    0.729191
56   0.036863    -0.922639    -0.188923
57   0.036520    0.537148    -0.773378
58   0.760625    0.129769    1.631053
59   -0.440046    -0.309779    -0.773372
60   0.284069    -0.717166    1.631093
61   0.283363    1.644475    0.685656
62   0.312847    1.283414    -0.216251
63   0.760438    1.031602    1.269999
64   -0.471861    2.305709    -0.654333
65   0.431796    1.797315    2.346307
66   -0.925028    1.081590    -1.568267
67   0.432221    0.318006    2.938550
68   -1.404255    0.229688    -1.568412
69   -0.046936    -0.533936    2.938637
70   -0.501230    2.669032    0.252651
71   -0.047708    2.413882    1.758594
72   -2.060253    -1.577226    0.845598
73   -0.487130    -1.185310    1.270079
74   -0.934710    -0.933502    -0.216133
75   -1.260483    1.266556    -0.260118
76   -0.535883    0.858898    2.145955
77   -0.040001    0.022651    2.172091
78   -0.935251    0.526316    -0.800638
79   -2.215322    -0.793277    -0.654545
80   -1.311554    -1.301734    2.346465
81   -0.488198    1.734139    0.101260
82   -0.040558    1.482298    1.587674
83   -1.736973    0.419837    -0.260162
84   -1.012329    0.012155    2.146059
85   -1.736008    -0.482940    0.101423
86   -1.288377    -0.734776    1.587808
87   -1.290081    1.627634    0.641927
88   -1.013127    1.471820    1.561570
89   -1.784723    0.101451    1.561897
90   -2.061752    0.257306    0.642010
91   -1.253894    1.831497    -1.020526
92   -0.069711    1.165280    2.911615
93   -1.785466    1.004127    1.200199
94   -2.215939    0.121428    -1.020865
