N     X           Y            Z
1   0.000000    0.000000    0.000000
2   1.634790    0.000000    0.000000
3   0.848968    -1.397054    0.000000
4   0.848238    1.010767    -0.963928
5   1.586679    0.595428    1.487478
6   0.315143    -1.665130    1.487497
7   -0.423298    -1.249790    -0.963908
8   -0.423948    0.238460    -1.559757
9   0.770976    -0.433632    2.407037
10   0.313880    2.231142    -0.072252
11   0.770345    1.974401    1.443076
12   -1.287240    -1.683605    1.443112
13   -1.743705    -1.426863    -0.072217
14   -1.745759    0.981969    -1.036634
15   -0.550286    0.309569    2.931984
16   -1.289773    2.213830    -0.117065
17   -0.550791    1.798185    2.336139
18   -1.822710    -0.463051    2.336161
19   -2.561693    -0.047407    -0.117043
20   -1.824597    1.946335    1.371834
21   -2.610817    0.548582    1.371848
22   1.337860    -0.752522    -0.555029
23   1.616081    -0.909010    0.368582
24   0.556124    0.252057    -1.512952
25   1.568213    -0.317198    1.846884
26   0.073387    -0.606159    -1.512944
27   1.085476    -1.175414    1.846891
28   1.084559    2.124906    0.525760
29   -1.252696    -2.030300    0.525800
30   1.337641    0.161447    -0.920882
31   1.115163    -1.541099    0.933152
32   1.896133    -0.152678    0.933143
33   0.556672    -1.226973    -0.920873
34   1.615648    0.912196    -0.360463
35   0.339735    -2.012053    0.569975
36   1.895919    0.754559    0.569953
37   0.059465    -1.854415    -0.360438
38   1.567809    1.503890    1.117826
39   1.114202    1.759023    -0.388014
40   -0.924629    -1.865643    -0.387980
41   -0.471022    -2.120777    1.117860
42   0.058517    1.092718    -1.540376
43   1.242690    0.426674    2.390727
44   0.280730    -1.283513    2.390743
45   -0.903444    -0.617468    -1.540361
46   1.242502    1.340577    2.024838
47   0.338606    1.848978    -0.975828
48   -1.404279    -1.249549    -0.975798
49   -0.500383    -1.757950    2.024867
50   0.279719    2.578195    0.845004
51   -2.058027    -1.577881    0.845045
52   0.808026    -0.454492    0.172035
53   0.036207    0.537102    -0.773360
54   0.760542    0.129697    1.631216
55   0.284136    -0.717265    1.631223
56   -0.440200    -0.309859    -0.773354
57   0.807744    0.447585    -0.189033
58   0.313590    -1.078300    0.729274
59   0.036969    -0.922715    -0.189021
60   1.084366    0.292001    0.729265
61   -0.472441    2.305621    -0.654183
62   0.431474    1.797209    2.346548
63   -1.311783    -1.301979    2.346578
64   -2.215699    -0.793567    -0.654153
65   0.283152    1.644477    0.685771
66   -1.258299    -1.095936    0.685798
67   0.760281    1.031588    1.270109
68   -0.934464    -0.933582    -0.216151
69   0.312566    1.283407    -0.216172
70   -0.486749    -1.185402    1.270131
71   0.431913    0.317862    2.938768
72   -0.925686    1.081451    -1.568059
73   -1.404914    0.229473    -1.568051
74   -0.047314    -0.534116    2.938776
75   -0.501724    2.668957    0.252841
76   -0.048074    2.413799    1.758828
77   -2.087751    -1.212367    1.758864
78   -2.541402    -0.957209    0.252877
79   -1.260762    1.266490    -0.259955
80   -0.535964    0.858824    2.146160
81   -1.012243    0.012088    2.146169
82   -1.737042    0.419755    -0.259947
83   -0.488523    1.734106    0.101394
84   -0.040749    1.482254    1.587870
85   -1.287859    -0.734876    1.587892
86   -1.735634    -0.483024    0.101416
87   -0.935564    0.526245    -0.800514
88   -0.040066    0.022568    2.172274
89   -1.785332    1.004251    1.200390
90   -1.013248    1.471822    1.561776
91   -1.290271    1.627635    0.642140
92   -2.060989    0.257443    0.642154
93   -1.783966    0.101630    1.561790
94   -1.254501    1.831321    -1.020299
95   -0.070013    1.165099    2.911850
96   -1.032007    -0.545147    2.911867
97   -2.216495    0.121074    -1.020282
98   -1.032844    2.402938    1.732068
99   -1.313436    2.560758    0.800586
100   -2.870455    -0.207331    0.800614
101   -2.589863    -0.365151    1.732095
102   -2.062861    1.725185    -0.477262
103   -1.049254    1.155076    2.887614
104   -1.531964    0.296908    2.887622
105   -2.545572    0.867016    -0.477253
106   -1.532436    1.776196    2.295651
107   -2.092493    2.091203    0.436427
108   -2.873746    0.702279    0.436440
109   -2.313689    0.387272    2.295665
110   -2.593917    1.459069    1.001675
111   -2.314415    1.301862    1.929536
112   0.518771    -0.291801    -0.728545
113   1.065174    -0.599127    1.085347
114   1.064541    1.182497    0.372119
115   -0.457719    -1.523801    0.372144
116   -0.459081    1.359192    -0.782004
117   0.425161    0.861847    2.153415
118   -0.515712    -0.810850    2.153432
119   -1.399954    -0.313504    -0.781988
120   -1.495804    0.841404    2.103137
121   -2.043431    1.149419    0.285180
122   -0.516964    2.072341    0.999284
123   -2.039447    -0.634350    0.999311
124   1.041975    -0.586102    -1.463473
125   1.872244    -1.053092    1.292776
126   1.871559    1.654272    0.208952
127   -0.441807    -2.458466    0.208991
128   -0.442908    1.922560    -1.545120
129   0.900774    1.166799    2.915509
130   -0.529327    -1.375656    2.915534
131   -1.873010    -0.619894    -1.545095
132   -0.530227    3.006701    1.161587
133   -2.844828    -1.108228    1.161628
134   2.175669    -0.294989    -0.736869
135   2.457651    -0.453592    0.199224
136   1.663914    -1.864712    0.199235
137   1.381934    -1.706109    -0.736861
138   0.878003    -2.342061    -0.168856
139   2.457460    0.465924    -0.168879
140   1.381330    0.725911    -1.710508
141   2.409168    0.147799    1.701610
142   1.124805    -2.135561    1.701629
143   0.096968    -1.557448    -1.710488
144   0.096540    -0.054315    -2.312342
145   1.585413    -0.891740    2.630279
146   1.663131    1.486820    -1.142520
147   2.408987    1.067311    1.333501
148   0.338903    -2.612918    1.333533
149   -0.406952    -2.193408    -1.142486
150   1.123715    2.719435    -0.241919
151   1.584728    2.460136    1.288506
152   -1.740446    -2.372515    -0.241870
153   -1.279434    -2.631814    1.288555
154   0.877096    1.577915    -1.738286
155   2.079316    0.901721    2.252730
156   0.309222    -2.245180    2.252759
157   -0.892998    -1.568985    -1.738256
158   -0.407621    0.797669    -2.340274
159   1.255705    -0.137878    3.181477
160   -0.893370    -0.065903    -2.340266
161   0.769956    -1.001450    3.181485
162   0.337835    2.810646    -0.837743
163   1.255229    2.294653    2.207734
164   -2.226510    -1.748284    -0.837699
165   -1.309116    -2.264278    2.207779
166   0.769236    2.919595    1.612005
167   0.308223    3.178894    0.081578
168   -2.095568    -2.173495    1.612055
169   -2.556582    -1.914196    0.081628
170   -1.280397    2.793081    -0.883334
171   -0.077727    2.116632    3.109178
172   -3.051853    -0.356238    -0.883303
173   -1.849182    -1.032686    3.109208
174   -1.741404    1.548114    -1.812472
175   -2.227326    0.684235    -1.812463
176   -0.077474    0.612227    3.711285
177   -0.563395    -0.251651    3.711293
178   -1.309982    3.161590    0.036156
179   -0.563765    2.741875    2.513380
180   -2.635915    -0.942022    2.513417
181   -3.382133    -0.522308    0.036193
182   -1.849886    2.891577    1.539604
183   -3.431743    0.079331    1.539632
184   -2.559190    1.439512    -1.262274
185   -1.068691    0.601173    3.685742
186   -1.068809    2.106421    3.083485
187   -2.097912    2.685246    -0.332835
188   -2.355128    -0.180413    3.083507
189   -3.384231    0.398411    -0.332812
190   -2.638349    2.414901    1.171257
191   -2.355755    2.255954    2.109388
192   -3.433834    1.000678    1.171271
193   -3.151239    0.841731    2.109402
194   2.157409    -1.213509    -0.363041
195   2.721655    0.310141    0.774309
196   2.157015    0.627726    -1.100129
197   0.583698    -2.169344    -1.100104
198   1.148337    -2.486929    0.774333
199   0.582972    0.810095    -2.293028
200   2.061413    -0.021462    2.614959
201   -0.389570    -0.918905    -2.293012
202   1.088870    -1.750463    2.614974
203   2.061064    1.819810    1.877839
204   1.147276    2.333775    -1.155668
205   -1.398638    -2.192388    -1.155625
206   -0.484850    -2.706354    1.877882
207   1.087925    3.070990    0.685041
208   -2.059460    -2.524478    0.685095
209   -1.399135    0.786984    -2.349076
210   0.428694    -0.241089    3.718778
211   -0.485637    3.253804    -0.508001
212   0.428203    2.739810    2.525681
213   -2.119018    -1.788675    2.525725
214   -3.032859    -1.274681    -0.507956
215   -2.020565    1.136583    2.842762
216   -2.854254    1.605496    0.075160
217   -2.060965    2.298428    -1.246550
218   -0.581380    1.466227    3.665235
219   -1.554896    -0.264503    3.665251
220   -3.034481    0.567698    -1.246533
221   2.383088    -0.771148    2.061282
222   0.595616    -0.904318    -2.257550
223   1.082117    -0.039409    -2.257558
224   1.896586    -1.636057    2.061290
225   1.895655    2.606384    0.363009
226   -1.242958    -2.973490    0.363063
227   1.869819    -1.051751    -1.292106
228   2.431195    -1.367501    0.571497
229   2.382532    1.980543    0.959702
230   1.925407    2.237656    -0.557818
231   -0.912403    -2.807448    -0.557770
232   -0.455278    -3.064561    0.959750
233   1.869614    -0.130641    -1.660846
234   2.713462    -0.605269    1.140481
235   1.926385    -2.004546    1.140493
236   1.082538    -1.529919    -1.660835
237   2.430607    1.384199    -0.530073
238   2.713079    1.225322    0.407648
239   0.361777    -2.954861    0.407686
240   0.079306    -2.795984    -0.530035
241   -2.120335    3.036753    0.595340
242   -1.555070    2.718817    2.471855
243   -3.696262    0.235049    0.595368
244   -3.130997    -0.082887    2.471882
245   0.078446    1.656762    -2.312992
246   1.726625    0.729735    3.158476
247   0.273053    -1.854448    3.158500
248   -1.375127    -0.927420    -2.312968
249   0.360777    2.419071    -1.743965
250   1.726457    1.650938    2.789688
251   -1.879968    -1.564558    -1.743927
252   -0.514288    -2.332693    2.789726
253   0.272249    3.521072    1.007005
254   -2.867677    -2.061133    1.007060
255   -0.456113    2.879254    -1.420024
256   0.909621    2.111090    3.113809
257   -2.697447    -1.105421    -1.419985
258   -1.331713    -1.873586    3.113848
259   -0.913058    1.645308    -2.341052
260   0.909917    0.619966    3.710687
261   -1.880229    -0.074142    -2.341036
262   -0.057254    -1.099485    3.710704
263   -0.514973    3.612604    0.410229
264   -0.057832    3.355483    1.927801
265   -2.897571    -1.693043    1.927851
266   -3.354711    -1.435922    0.410279
267   -1.243788    2.401071    -1.789228
268   0.404736    1.473849    3.683387
269   -1.049316    -1.111186    3.683412
270   -2.697842    -0.183965    -1.789203
271   -1.332316    3.503742    0.962209
272   -1.049662    3.344761    1.900540
273   -3.686122    -0.680887    0.962251
274   -3.403468    -0.839868    1.900581
275   -3.132618    1.762090    1.734635
276   -0.977122    0.549643    1.372764
277   -1.242367    0.698832    0.492229
278   -0.503049    1.146304    0.838194
279   -1.240840    -0.165351    0.838207
280   -0.474705    0.800675    -0.025569
281   -0.045955    0.559524    1.397751
282   -0.502009    -0.251253    1.397759
283   0.264385    0.714895    0.533925
284   -0.930760    -0.010102    -0.025561
285   -0.473636    -0.597169    0.533939
286   0.265028    -0.149058    0.879795
287   -2.876398    2.188830    -0.695583
288   -2.059003    0.587328    3.637528
289   -3.364271    1.321482    -0.695574
290   -1.571131    1.454675    3.637519
291   -2.058916    2.082254    3.039638
292   -2.906113    2.558764    0.227194
293   -3.695837    1.154783    0.227208
294   -2.848640    0.678272    3.039652
295   -2.848879    1.602500    2.670020
296   -3.412835    1.919700    0.797853
297   1.572616    -0.884588    -2.209040
298   2.690891    -1.513569    1.503304
299   2.690093    2.132992    0.043493
300   -0.425850    -3.406580    0.043545
301   -0.426671    2.494244    -2.319302
302   1.383156    1.476297    3.688790
303   -0.543312    -1.948606    3.688823
304   -2.353139    -0.930658    -2.319269
305   -0.543863    3.954882    1.326344
306   -3.662214    -1.588965    1.326400
307   2.211044    1.204332    -1.899551
308   3.249734    0.620116    1.548594
309   1.157675    -3.099179    1.548627
310   0.118986    -2.514962    -1.899517
311   1.701343    2.065643    -1.927592
312   2.916293    1.382289    2.105681
313   0.333177    -3.210014    2.105723
314   -0.881772    -2.526659    -1.927549
315   3.013788    -0.756758    -0.543622
316   2.211795    -2.182557    -0.543610
317   1.416440    1.296370    -2.501813
318   1.127711    -2.727405    2.477859
319   2.916467    0.452673    2.477831
320   -0.372315    -1.883706    -2.501784
321   3.013596    0.172823    -0.915763
322   3.298669    0.012482    0.030592
323   1.417282    -2.665133    -0.915738
324   1.702354    -2.825474    0.030617
325   1.156626    3.311139    -1.017654
326   2.083741    2.789679    2.060096
327   -1.301912    -3.229386    2.060154
328   -2.229028    -2.707925    -1.017596
329   1.126726    3.683357    -0.088351
330   1.592497    3.421381    1.457870
331   -2.096869    -3.137628    1.457934
332   -2.562640    -2.875653    -0.088286
333   0.118485    0.507917    -3.110018
334   -0.372548    -0.365049    -3.110009
335   2.084360    -0.597801    3.416107
336   1.593326    -1.470768    3.416115
337   0.332372    3.775625    -0.690706
338   1.259509    3.254152    2.387116
339   -3.054008    -2.244730    -0.690646
340   -2.126871    -2.766203    2.387175
341   -0.882145    0.496176    -3.138338
342   1.260119    -0.708754    3.973347
343   -2.229482    1.254042    -2.605490
344   -0.086455    0.048685    4.508728
345   -1.302027    3.758238    -0.736951
346   -0.086624    3.074628    3.297829
347   -2.672495    -1.522569    3.297874
348   -3.887898    -0.838959    -0.736905
349   -2.562777    2.017073    -2.049981
350   -3.054637    1.142637    -2.049973
351   -1.086965    0.035909    4.482118
352   -0.595105    0.910345    4.482110
353   -2.096328    3.276467    -1.110436
354   -0.595084    2.432084    3.873254
355   -2.387422    -0.754360    3.873285
356   -3.888667    0.090023    -1.110404
357   -2.126203    3.649545    -0.179894
358   -1.086895    3.064981    3.270303
359   -3.183694    -0.662737    3.270340
360   -4.223002    -0.078173    -0.179857
361   -2.672439    3.376586    1.340284
362   -2.387595    3.216374    2.285883
363   -4.273383    0.530408    1.340312
364   -3.988538    0.370195    2.285911
365   1.919428    0.435305    -2.464818
366   3.239487    -0.307169    1.917387
367   1.944805    -2.608875    1.917407
368   0.624747    -1.866400    -2.464798
369   2.487279    1.968599    -1.320287
370   3.239128    1.545719    1.175627
371   0.361153    -3.570789    1.175674
372   -0.390694    -3.147908    -1.320239
373   2.720111    -0.593774    -1.483338
374   3.288320    -0.913367    0.402943
375   2.488203    -2.335827    0.402955
376   1.919996    -2.016235    -1.483328
377   2.408376    2.949718    1.130165
378   1.943694    3.211081    -0.412442
379   -1.270104    -3.589939    1.130228
380   -1.734786    -3.328576    -0.412379
381   3.287943    0.939495    -0.338811
382   0.904565    -3.297714    -0.338772
383   0.624436    -0.351257    -3.071473
384   2.409201    -1.355109    2.853422
385   0.903587    2.152103    -2.520828
386   0.301486    -2.829919    3.027864
387   2.575018    1.212000    3.027827
388   -1.369944    -1.889813    -2.520790
389   0.360286    3.394800    -1.613077
390   1.744574    2.616200    2.982351
391   -2.714071    -2.070835    -1.613024
