N     X           Y            Z
1   0.000000    0.000000    0.000000
2   1.637038    0.000000    0.000000
3   0.854132    -1.396549    0.000000
4   0.851505    1.008033    0.963722
5   1.587055    0.595678    -1.484799
6   0.319877    -1.664709    -1.484795
7   -0.415672    -1.252354    0.963726
8   0.774055    -0.433939    -2.402992
9   -0.416617    0.233562    1.560560
10   0.313443    2.229683    0.074509
11   0.768709    1.974456    -1.440997
12   -1.738594    -1.430735    0.074517
13   -1.283328    -1.685961    -1.440990
14   -1.740531    0.975749    1.042479
15   -0.547377    0.306857    -2.929335
16   0.562125    0.249259    1.512283
17   1.088895    -1.174819    -1.843988
18   1.570367    -0.315970    -1.843990
19   0.080652    -0.609590    1.512285
20   1.897902    -0.151619    -0.931255
21   0.563593    -1.228296    0.919539
22   1.341914    0.160073    0.919537
23   1.119581    -1.539987    -0.931253
24   1.620061    -0.908207    -0.367889
25   1.343054    -0.752915    0.554221
26   1.617741    0.910941    0.360233
27   1.896738    0.754533    -0.568500
28   0.345938    -2.011779    -0.568495
29   0.066942    -1.855371    0.360238
30   0.038104    0.535743    0.772793
31   0.759626    0.131252    -1.629033
32   0.284365    -0.716517    -1.629032
33   -0.437157    -0.312026    0.772796
34   0.808511    0.447446    0.188280
35   1.083795    0.293120    -0.728093
36   0.315413    -1.077517    -0.728091
37   0.040130    -0.923191    0.188283
38   0.064631    1.088059    1.542079
39   1.245021    0.426323    -2.387243
40   0.285896    -1.284562    -2.387239
41   -0.894494    -0.622826    1.542083
42   0.810105    -0.454144    -0.171934
43   1.567815    1.502943    -1.116153
44   1.115439    1.756550    0.389732
45   -0.916522    -1.868057    0.389740
46   -0.464146    -2.121663    -1.116146
47   0.277293    1.646543    -0.685770
48   -1.259982    -1.095644    -0.685765
49   1.243721    1.339203    -2.022112
50   -1.395049    -1.254366    0.978811
51   0.342230    1.844588    0.978805
52   -0.493558    -1.759750    -2.022106
53   0.436158    0.315326    -2.934879
54   -0.041441    -0.536612    -2.934877
55   -1.395499    0.222484    1.572562
56   -0.917901    1.074423    1.572560
57   1.082452    2.123651    -0.524247
58   -1.246909    -2.031454    -0.524238
59   0.757722    1.032597    -1.268904
60   -0.931819    -0.934996    0.216614
61   0.311466    1.282772    0.216610
62   -0.485563    -1.185171    -1.268900
63   -0.933025    0.523059    0.801456
64   -0.040564    0.022738    -2.169398
65   -1.291145    2.212494    0.121343
66   -2.561127    -0.052898    0.121348
67   -0.553379    1.798895    -2.334558
68   -1.823361    -0.466495    -2.334553
69   -1.250850    1.824502    1.026208
70   -0.068672    1.161762    -2.909068
71   -2.209107    0.115165    1.026212
72   -1.026929    -0.547573    -2.909065
73   -0.469449    2.301355    0.658090
74   -1.306699    -1.305642    -2.342896
75   0.432064    1.795958    -2.342902
76   -2.208213    -0.800246    0.658097
77   -1.302080    1.634428    -0.643749
78   -2.073688    0.258036    -0.643746
79   -1.025775    1.479529    -1.563524
80   -1.797383    0.103137    -1.563521
81   -1.263368    1.264820    0.260356
82   -0.541140    0.859932    -2.143821
83   -1.015949    0.012970    -2.143820
84   -1.738177    0.417857    0.260358
85   -0.492211    1.734913    -0.101503
86   -1.290893    -0.735300    -1.586048
87   -0.046244    1.484900    -1.586052
88   -1.736860    -0.485288    -0.101499
89   -1.801351    1.009841    -1.202978
90   0.275255    2.580871    -0.843733
91   -2.058118    -1.581393    -0.843724
92   -0.503079    2.671433    -0.250849
93   -2.089256    -1.218165    -1.756199
94   -0.050862    2.417916    -1.756207
95   -2.541473    -0.964648    -0.250842
96   -2.063027    1.720083    0.484989
97   -2.543784    0.862510    0.484991
98   -1.049943    1.152139    -2.887404
99   -1.530700    0.294567    -2.887402
100   0.522366    -0.292836    0.727728
101   1.066599    -0.597937    -1.083932
102   1.062932    1.182786    -0.371659
103   -0.454443    -1.523903    -0.371654
104   -0.457589    1.355809    0.783171
105   0.423665    0.861771    -2.150377
106   -0.514128    -0.811061    -2.150374
107   -1.395381    -0.317023    0.783174
108   -0.527604    2.079866    -1.000541
109   -2.049606    -0.635076    -1.000536
110   -1.842339    1.959309    -1.375191
111   -2.632726    0.549419    -1.375188
112   -2.054134    1.151553    -0.284811
113   -1.507375    0.845035    -2.104882
114   1.048967    -0.588048    1.461925
115   1.875872    -1.051617    -1.290705
116   1.872095    1.652846    -0.207745
117   -0.433267    -2.459452    -0.207737
118   0.903989    1.164031    -2.911731
119   -0.436352    1.915439    1.550045
120   -0.521377    -1.378532    -2.911726
121   -1.861718    -0.627126    1.550051
122   2.411632    0.148271    -1.698356
123   1.387865    0.722204    1.709596
124   0.108017    -1.560786    1.709600
125   1.131784    -2.134719    -1.698352
126   1.590837    -0.891829    -2.625636
127   0.107375    -0.060188    2.312563
128   2.461388    -0.452926    -0.198714
129   1.389919    -1.706118    0.735718
130   2.180680    -0.295559    0.735716
131   1.670627    -1.863485    -0.198712
132   0.886809    -2.341685    0.168987
133   2.460381    0.465250    0.168983
134   2.410703    1.066412    -1.330717
135   1.667597    1.483004    1.142960
136   0.348036    -2.612967    -1.330710
137   -0.395070    -2.196376    1.142967
138   1.262129    -0.140060    -3.176270
139   0.778000    -1.003648    -3.176268
140   -0.396044    0.789527    2.343516
141   -0.880173    -0.074063    2.343518
142   2.082366    0.900304    -2.248827
143   0.884089    1.572069    1.740040
144   -0.879846    -1.574436    1.740047
145   0.318431    -2.246200    -2.248821
146   -1.325917    2.574623    -0.798912
147   -2.888203    -0.212179    -0.798906
148   -1.044060    2.416612    -1.737167
149   -2.606346    -0.370190    -1.737161
150   1.586518    2.457329    -1.285538
151   1.126475    2.715234    0.245870
152   -1.728615    -2.377667    0.245880
153   -1.268572    -2.635571    -1.285527
154   -0.552496    -0.257489    -3.708593
155   -0.068607    0.605670    -3.708595
156   -2.214416    0.674197    1.823668
157   -1.730527    1.537357    1.823666
158   0.343697    2.804479    0.844106
159   -2.213165    -1.756444    0.844116
160   1.259430    2.291110    -2.204220
161   -1.297432    -2.269811    -2.204210
162   -2.889988    0.699592    -0.430977
163   -2.104677    2.100428    -0.430980
164   -2.327753    0.384399    -2.302566
165   -1.542442    1.785235    -2.302569
166   -1.836995    -1.041174    -3.108808
167   -0.070237    2.110364    -3.108814
168   -3.040400    -0.366536    0.897132
169   -1.273642    2.785004    0.897125
170   0.311533    3.176583    -0.075512
171   0.772181    2.918339    -1.608934
172   -2.547389    -1.923153    -0.075501
173   -2.086741    -2.181396    -1.608923
174   -1.059007    0.593676    -3.686521
175   -2.550356    1.429739    1.277935
176   2.162058    0.625745    1.099107
177   1.156470    -2.486112    -0.772452
178   2.724287    0.310554    -0.772457
179   0.594242    -2.170923    1.099112
180   1.096490    -1.751295    -2.610932
181   0.592575    0.804407    2.294248
182   2.066119    -0.021674    -2.610936
183   -0.377053    -0.925215    2.294252
184   2.164015    -1.213148    0.362611
185   0.438598    -0.245884    -3.714337
186   -1.385270    0.776592    2.357021
187   1.152788    2.328287    1.159561
188   2.064334    1.817265    -1.874826
189   -1.384780    -2.198222    1.159570
190   -0.473234    -2.709242    -1.874817
191   -2.332383    1.307536    -1.936341
192   -2.613667    1.465227    -0.999990
193   1.902373    -1.635153    -2.057996
194   1.091428    -0.043173    2.256443
195   2.387510    -0.769767    -2.057998
196   0.606292    -0.908559    2.256445
197   2.717156    -0.603750    -1.138279
198   1.876890    -0.132690    1.658827
199   1.092474    -1.531930    1.658829
200   1.932740    -2.002990    -1.138277
201   2.436818    -1.366083    -0.570367
202   1.877858    -1.052726    1.290317
203   2.433903    1.382065    0.530415
204   2.715234    1.224349    -0.406086
205   0.372191    -2.955162    -0.406078
206   0.090862    -2.797447    0.530423
207   1.089645    3.068276    -0.681170
208   -2.049013    -2.530451    -0.681158
209   0.283516    -1.857413    -3.154094
210   1.732475    0.727237    -3.154099
211   0.088770    1.648713    2.317524
212   -1.360189    -0.935939    2.317530
213   2.384537    1.978395    -0.957483
214   1.928612    2.233991    0.560214
215   -0.443626    -3.066473    -0.957473
216   -0.899550    -2.810878    0.560225
217   -0.045502    -1.104311    -3.706306
218   -1.864595    -0.084513    2.349158
219   0.918339    0.614987    -3.706309
220   -0.900754    1.634787    2.349154
221   1.731674    1.647245    -2.785952
222   0.369052    2.411145    1.749994
223   -1.864381    -1.572848    1.750003
224   -0.501759    -2.336745    -2.785944
225   1.896864    2.603309    -0.360372
226   -1.231182    -2.976489    -0.360361
227   0.412287    1.466896    -3.681444
228   -1.036297    -1.117085    -3.681439
229   -1.234740    2.390235    1.801243
230   -2.683325    -0.193748    1.801249
231   -0.447245    2.870881    1.429295
232   -1.318819    -1.880820    -3.110120
233   0.916422    2.106397    -3.110128
234   -2.682486    -1.116337    1.429304
235   -2.107620    -1.799311    -2.522742
236   -0.478207    3.248932    0.518263
237   -3.021157    -1.287175    0.518272
238   0.435329    2.736795    -2.522752
239   -0.572615    1.457025    -3.667332
240   -1.541751    -0.271718    -3.667329
241   -3.023179    0.558783    1.264103
242   -2.054042    2.287527    1.264099
243   -0.537240    3.020372    -1.161826
244   -2.856977    -1.117568    -1.161818
245   -2.863250    1.605145    -0.062850
246   -2.025695    1.135605    -2.850935
247   -0.556099    2.740162    -2.516430
248   -1.305969    3.160546    -0.020234
249   -2.627772    -0.955284    -2.516423
250   -3.377643    -0.534900    -0.020226
251   -2.344529    -0.191297    -3.089633
252   -2.094413    2.679775    0.353515
253   -3.378871    0.388563    0.353520
254   -1.060072    2.099914    -3.089638
255   -0.511881    1.150633    -0.839326
256   -1.248676    -0.163661    -0.839323
257   -1.251934    0.701838    -0.493999
258   -0.987645    0.553675    -1.373775
259   -0.051654    0.561475    -1.395777
260   -0.505944    -0.248886    -1.395776
261   -0.478077    0.800532    0.023715
262   -0.932368    -0.009830    0.023717
263   0.260830    0.716882    -0.534152
264   -0.475481    -0.596547    -0.534150
265   0.264139    -0.148077    -0.879267
266   0.277206    3.526043    -1.002323
267   -2.863425    -2.076203    -1.002312
268   2.696194    -1.511492    -1.500882
269   1.582445    -0.887115    2.206603
270   2.692169    2.130634    -0.041855
