N     X           Y            Z
174   -1.301359    3.162558    0.031071
175   -1.840410    -1.035319    3.110538
176   -3.044050    -0.358139    -0.893836
177   -1.840423    2.896659    1.535139
178   -2.090649    -2.177402    1.610508
179   -2.551740    -1.917988    0.076508
180   -1.062669    0.602413    3.685014
181   -2.551752    1.440185    -1.268989
182   -1.062674    2.108678    3.081509
183   -2.090666    2.687036    -0.338495
184   2.161481    -1.212713    -0.362698
185   2.161476    0.626789    -1.099718
186   2.724576    0.309981    0.773651
187   1.152776    2.331687    -1.156896
188   0.589810    -2.168694    -1.099829
189   1.152791    -2.485434    0.773146
190   2.064397    -0.020313    2.612804
191   2.064391    1.818800    1.875939
192   0.589800    0.809314    -2.293006
193   1.093468    -1.749200    2.613308
194   -0.381682    -0.919263    -2.294349
195   1.093453    3.069732    0.682538
196   -1.389817    -2.193084    -1.159395
197   -0.477361    -2.706443    1.876247
198   -1.389827    0.785813    -2.352930
199   0.434518    -0.240583    3.716456
200   0.434508    2.740177    2.522174
201   -0.477381    3.253215    -0.511570
202   1.899864    2.604626    0.361492
203   1.899877    -1.634439    2.059930
204   0.602233    -0.904369    -2.257184
205   1.088448    -0.039698    -2.256784
206   1.088453    -1.529548    -1.659857
207   1.929858    -2.002934    1.139402
208   2.385920    -0.769672    2.059753
209   1.929846    2.235568    -0.558810
210   2.385912    1.978978    0.958470
211   2.716327    1.224175    0.407028
212   1.874825    -0.131003    -1.659907
213   2.434598    -1.366300    0.571138
214   2.716333    -0.604446    1.139690
215   2.434591    1.382684    -0.530279
216   1.874829    -1.051367    -1.291153
217   0.085991    -2.795244    -0.530768
218   0.367676    -2.953723    0.406367
219   0.085976    1.655450    -2.313997
220   1.730087    1.650645    2.787088
221   0.367658    2.417164    -1.745550
222   1.730089    0.730453    3.155775
223   -2.053433    -2.526584    0.682039
224   -2.053450    2.298524    -1.251206
225   -0.576407    1.467525    3.662742
226   -1.365400    -0.928258    -2.316789
227   0.279849    -1.853893    3.156768
228   0.279831    3.520707    1.003363
229   -0.904602    -2.807411    -0.560216
230   -0.448251    2.877999    -1.422729
231   -0.448231    -3.064170    0.958081
232   0.914375    0.620526    3.707877
233   -0.904617    1.643911    -2.343698
234   0.914371    2.111374    3.110550
235   -1.869673    -0.075360    -2.346424
236   -0.049577    -1.099366    3.708829
237   -1.869668    -1.565666    -1.749313
238   -0.505778    -2.333006    2.788195
239   -0.049591    3.356108    1.923684
240   -0.505798    3.612775    0.405939
241   -1.235999    -2.973509    0.360754
242   0.408891    1.474528    3.680213
243   -1.236018    2.399970    -1.792203
244   -2.687497    -1.108086    -1.427629
245   -1.322790    -1.875885    3.112599
246   -2.687501    -0.184238    -1.797781
247   -1.322808    3.506107    0.956232
248   -1.039988    -1.111146    3.683305
249   -1.040003    3.346999    1.897090
250   -2.111271    -1.794366    2.524812
251   -3.025447    -1.280042    -0.516551
252   -3.025454    0.569227    -1.257486
253   -1.545186    -0.263586    3.667195
254   -2.111287    3.041279    0.587345
255   -1.545196    2.722791    2.470663
256   -2.859873    -1.113128    1.163470
257   -2.026743    1.139786    2.844763
258   -2.859883    1.608518    0.073006
259   -2.347498    -0.183403    3.089489
260   -2.630768    -0.949410    2.517837
261   -3.380535    -0.527584    0.023447
262   -3.380539    0.397795    -0.347319
263   -2.347506    2.265890    2.108147
264   -2.630780    2.425262    1.165729
265   -1.249154    -0.164690    0.839708
266   -1.249157    0.698925    0.493689
267   -0.984791    0.550190    1.373205
268   -0.476238    -0.595818    0.534476
269   -0.476243    0.800028    -0.024788
270   -0.048953    0.559630    1.396758
271   -0.505516    -0.249855    1.396548
